taxa	FHBDON	FHBD3G	FHBD3G.DON	FHBDISIND	FHBSPKINC	PTHT	STMANG	HDANG	SPKYLD	SPKDEN
17SGH03739	NA	NA	NA	0.75	60	100	70	0	0	0.82976903
17SGH02460	0.3	2.2	7.3	1.157894737	73.6842105	95	80	0	0.00546875	0.86838535
17SGH03791	NA	NA	NA	0.1875	18.75	95	70	0.2	0.00365854	0.65113817
17SGH03572	2.5	1.3	0.5	NA	75	65	80	0	0.0005618	0.72298944
17SGH02542	NA	NA	NA	1.533333333	86.6666667	95	80	0.2	0	0.58602151
17SGH00675	0.6	0	0	0.333333333	23.8095238	85	60	0	0.01734694	0.86496028
17SGH01776	1.1	2	1.8	0.6	50	80	60	0	0.02272727	0.77223089
17SGH03176	0.9	2.5	2.8	0.35	30	105	60	0	0.00892857	0.69565217
17SGH00208	0.2	0.1	0.5	1.214285714	85.7142857	55	50	0	0	0.57256236
17SGH02702	0.4	0.6	1.5	0.1875	18.75	90	60	0	0.0032967	0.68731118
17SGH02287	NA	NA	NA	0.4	30	90	50	0	0.00405405	0.49932524
17SGH03892	NA	NA	NA	0.272727273	27.2727273	75	50	NA	NA	NA
17SGH02741	0.4	3.1	7.8	1.384615385	92.3076923	100	70	0	0.00275229	0.71335079
17SGH02529	NA	NA	NA	NA	50	75	60	0	0.00058824	1.09149278
17SGH00391	0.4	0.3	0.8	0.5	40	85	50	0	0.00648148	0.67331671
17SGH03908	0.5	0.1	0.2	0.666666667	46.6666667	90	60	0	0.00784314	0.68273092
17SGH02466	NA	NA	NA	0.6	45	95	60	0	0.01282051	0.54355401
17SGH02587	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17SGH00723	0.2	0	0	0.6	50	80	50	0	0.00204082	0.70605187
17SGH00019	NA	NA	NA	1.4	93.3333333	90	80	0	0	0.82673703
17SGH01561	NA	NA	NA	1.222222222	77.7777778	90	60	0	0.00392157	0.59509918
17SGH03328	0.6	2.2	3.7	NA	83.3333333	80	60	0	0	0.55016181
17SGH02660	NA	NA	NA	0.8	80	65	70	0	0	0.61252581
17SGH01913	0.5	0	0	0.5	38.8888889	95	60	0.2	0.00189394	0.73251942
17SGH04020	0.9	1.4	1.6	1	70	95	70	0	0.01485149	0.6196319
17SGH03771	0.8	0	0	0.45	40	90	60	0.8	0.02153285	0.69755601
17SGH02959	0.5	0.5	1	0.55	45	105	80	0	0.0130597	0.62325581
17SGH03863	0.5	2.5	5	0	0	100	70	0	0.01559633	0.85023401
17SGH03878	0.3	1	3.3	0.25	20	95	70	0	0.02972973	0.76657459
17SGH01082	0.5	0.6	1.2	0.35	25	100	60	0	0.01026786	0.64073227
17SGH02669	0.9	0	0	0.421052632	36.8421053	90	40	0	0.00833333	0.73891626
17SGH01985	0.5	0.6	1.2	0.3125	25	100	80	0	0.01428571	0.7310705
17SGH02731	0.1	0	0	0.444444444	38.8888889	95	80	0	0.00117188	0.83062946
17SGH03605	1.2	1.8	1.5	1.555555556	72.2222222	95	60	0	0	0.63320023
17SGH02459	0.5	0	0	0.55	50	85	60	0	0.00681818	0.6312769
17SGH02352	0.6	0	0	1.533333333	93.3333333	95	80	0	0.00618557	0.72280179
17SGH03243	NA	NA	NA	0.6	46.6666667	85	50	0.2	0.0106383	0.7148289
17SGH04060	1	1.5	1.5	0.6	45	80	60	0	0.00773196	0.74272588
17SGH01613	0.1	2.7	27	0.6	40	105	60	1	0.02079208	0.67020571
17SGH02132	0.4	0	0	0.888888889	72.2222222	100	70	0.2	0.00694444	0.80237741
17SGH02913	NA	NA	NA	NA	100	75	80	0	0	1.14285714
17SGH03521	NA	NA	NA	NA	100	60	40	0	0	0.72489083
17SGH03595	0.5	1.5	3	1.5	85	95	70	0	0.00277778	0.66502463
17SGH01348	0.4	0	0	1.047619048	80.952381	95	60	0.2	0.00901639	0.6048587
17SGH02701	0.1	0	0	0.6	45	95	70	0	0.01818182	0.72511536
17SGH01512	NA	NA	NA	0.25	25	95	80	0	0.00092593	0.8490566
17SGH00352	0.2	0.3	1.5	0.3	25	100	70	0	0.01869159	0.75246132
17SGH03009	0.3	0	0	0.15	15	105	60	0.2	0.01016949	0.50212766
17SGH02889	0.5	0.8	1.6	0.05	5	95	60	0.2	0.01588235	0.6645817
17SGH01126	0.3	0.1	0.3	0.72	56	100	70	0	0.03484848	0.6875
17SGH03852	0.4	0	0	0.05	5	95	40	0	0.01136364	0.70063694
17SGH03284	0.5	0	0	0.4375	43.75	80	70	0	0.00247525	0.77217125
17SGH00633	0.5	0.6	1.2	0.210526316	15.7894737	110	60	0	0.03394495	0.60961969
17SGH02665	0.4	0	0	0.15	15	90	60	0	0.03317308	0.81377152
17SGH03351	0.7	0.8	1.1	1.105263158	73.6842105	105	60	0	0.00934959	0.66235864
17SGH03069	0.2	0.6	3	0	0	110	70	0.4	0.0245283	0.71524966
17SGH02162	0.1	0.1	1	0.25	25	90	80	0	0.00380952	0.78888054
17SGH04065	0.3	1.1	3.7	0.666666667	66.6666667	70	80	0.6	0.00138889	0.69498069
17SGH03519	0.5	1.1	2.2	0.733333333	40	90	60	0	0.00114504	0.89726027
17SGH00060	0.7	0	0	0.117647059	11.7647059	80	70	0	0.01413043	0.69855733
17SGH00279	0.3	1.2	4	0.25	20	95	80	0	0	0.65632458
17SGH01502	NA	NA	NA	0.5	40	95	80	0	0.00113636	0.81860465
17SGH02243	0.7	0	0	0.45	40	85	70	0	0	0.79710145
17SGH03882	NA	NA	NA	0.411764706	35.2941176	95	50	0	0.00510204	0.69111425
17SGH00915	NA	NA	NA	0.066666667	6.6666667	75	70	0	0.00730337	0.72534637
17SGH00377	0.5	0.3	0.6	0.666666667	53.3333333	95	80	0.4	0.0088785	0.68721901
17SGH00157	0.2	0	0	0.3	25	85	60	0.2	0.03818182	0.66465257
17SGH03033	0.1	2.1	21	0.15	10	120	80	0.2	0.00333333	0.63157895
17SGH03435	2.7	1.4	0.5	0.8	66.6666667	105	70	0	0.00431034	0.59855521
17SGH03912	0.2	1.5	7.5	0.35	20	85	70	0.2	0.0107438	0.64705882
17SGH00356	0.5	0.3	0.6	NA	33.3333333	85	70	0	0.01415094	0.76258993
17SGH02360	NA	NA	NA	0.1	10	110	60	0.2	NA	0.74792244
17SGH01120	0.5	0.3	0.6	0.19047619	19.047619	95	70	0	0.01470588	0.60222672
17SGH02945	0.8	0.5	0.6	0.05	5	90	80	0	0.02974138	0.7030303
17SGH02786	0.3	0	0	0.05	5	105	80	0	0.02318182	0.57561486
17SGH03141	0.4	1.1	2.8	0.15	10	100	90	0	0.02585034	0.9339263
17SGH02112	0.4	1	2.5	0.277777778	22.2222222	95	60	0.2	0.02276423	0.5726257
17SGH03566	0.3	1	3.3	0.368421053	31.5789474	75	70	0	0.00233645	0.60554612
17SGH01096	0.1	0	0	0.25	25	100	60	0.6	0.00840708	0.72809278
17SGH03044	NA	NA	NA	1	66.6666667	100	70	0.6	0.00982143	0.71840924
17SGH03671	1.1	0	0	0.35	25	85	30	1.2	0.0203125	0.60075094
17SGH00518	0.1	0	0	1	60	85	70	0.4	0.0052381	0.52870091
17SGH03618	0.3	0.2	0.7	0.05	5	90	70	0	0.00904762	0.74152542
17SGH00894	0.5	1.8	3.6	0.142857143	14.2857143	85	60	0.2	0.01383929	0.65458796
17SGH00599	0.4	0.3	0.8	0.380952381	33.3333333	100	70	0	0.01966292	0.51534453
17SGH02608	0.2	0.3	1.5	0.25	25	85	60	0.4	0.03053097	0.69538462
17SGH01706	0.1	0	0	0.095238095	9.5238095	110	80	0	0.06409091	0.6875
17SGH00226	0	0.3	NA	0.6	55	105	60	1.4	0.02783019	0.62279671
17SGH03820	0.8	0	0	0.2	15	100	60	0.2	0.00841584	0.64951768
17SGH02048	0.1	0	0	NA	26.3157895	120	60	0.6	0.03185841	0.67142008
17SGH04079	0.3	0	0	1	75	75	70	0	0.01185567	0.68261787
17SGH00766	0.2	0	0	0.35	25	90	50	0	0.02459677	0.72429907
17SGH02686	0	0.7	NA	0.4	35	90	60	0.4	0.02007874	0.67053854
17SGH00353	0.4	0	0	0.35	25	75	60	0.2	0.0326087	0.68208778
17SGH01380	0.1	0.1	1	0.4	40	90	80	0	0.03	0.66225166
17SGH00302	0.3	0.2	0.7	0.55	40	80	80	0	0	0.67922374
17SGH03934	0.1	0.3	3	0.315789474	31.5789474	80	80	0	0.01315789	0.70214339
17SGH01235	0.9	1.9	2.1	0.15	15	85	70	0	0.0056	0.78914141
17SGH01004	0.3	2.8	9.3	0.4	35	85	50	0.4	0.02410714	0.76555024
17SGH04018	0.9	2.1	2.3	0.153846154	15.3846154	70	60	0.2	0.00772727	0.73041169
17SGH03829	0.7	0	0	0.85	55	115	60	0.6	0.00255102	0.54656999
17SGH02869	0.2	0.2	1	0.05	5	100	70	0.2	0.00542636	0.8232291
17SGH02888	0.4	1.2	3	0.15	15	90	60	0	0.00670103	0.65852003
17SGH02822	NA	NA	NA	0.466666667	33.3333333	90	60	0.2	0.006875	0.71748879
17SGH04093	NA	NA	NA	NA	NA	NA	70	NA	NA	NA
17SGH02861	1.6	0.3	0.2	1.210526316	73.6842105	105	70	0.4	0.01127451	0.60895522
17SGH02494	0.3	1.1	3.7	0.85	55	110	70	0.2	0.01929825	0.75898802
17SGH02010	0.1	1.3	13	0.45	30	95	70	0.8	0.02477876	0.60170394
