taxa	FHBDON	FHBD3G	FHBD3G.DON	FHBDISIND	FHBSPKINC	PTHT	ZDK	GLBLSEV	BLSSEV	HSATIVLSEV	HDANG	SPKYLD	SPKDEN
17SGH03739	0.7	0.1	0.1	0.45	40	151	71	2	2	2	0.1788	0.1075105996	0.2751666667
17SGH02460	1.6	0.1	0.1	1.904761905	95.2380952	140	71	2	70	0	0.1799047619	0.085440613	0.435
17SGH03791	0.4	0.1	0.3	0.85	60	143	73	2	10	20	0.1912	0.1330218069	0.2675
17SGH03572	6.8	0.1	0	0.952380952	52.3809524	120	69	10	20	2	0.173047619	0.1506849315	0.38325
17SGH02542	8.5	0.8	0.1	0.318181818	22.7272727	125	69	5	40	2	0.1744545455	0.0513234345	0.38725
17SGH00675	0.4	0.1	0.3	0.238095238	19.047619	143	73	5	2	10	0.1823809524	0.1559139785	0.1727142857
17SGH01776	0.8	0.1	0.1	0.523809524	42.8571429	146	73	2	30	10	0.1868571429	0.1654411765	0.2992
17SGH03176	2.6	0.1	0	1.2	75	150	73	5	20	5	0.1775	0.1533292608	0.3274
17SGH00208	3.1	0.1	0	0.619047619	38.0952381	100	69	2	10	5	0.1807619048	0.1363636364	0.8305
17SGH02702	2	0.1	0.1	1.571428571	100	145	73	2	10	2	0.172	0.0864505403	0.2005
17SGH02287	0.5	0.1	0.2	0.4	35	140	75	5	2	5	0.1627	0.1026812919	0.41025
17SGH03892	1.8	0.1	0.1	0.15	15	120	73	5	80	2	0.1523	0.1280141844	0.282
17SGH02741	4.2	0.2	0	0.523809524	38.0952381	142	75	2	40	10	0.1807619048	0.1082629674	0.2368571429
17SGH02529	3.9	0.5	0.1	1.6	85	118	71	5	60	10	0.2017	0.0689987163	0.2596666667
17SGH00391	3.3	0.1	0	0.714285714	52.3809524	139	73	10	40	2	0.191047619	0.2100532623	0.2145714286
17SGH03908	0.7	0.1	0.1	0.136363636	13.6363636	152	71	5	2	5	0.1862727273	0.1717963067	0.44675
17SGH02466	0.7	0.1	0.1	0.363636364	27.2727273	151	71	10	5	2	0.1565454545	0.0905621096	0.2882
17SGH02587	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17SGH00723	1.4	0.1	0.1	0.727272727	59.0909091	140	71	5	5	10	0.1891818182	0.1174461377	0.3806
17SGH00019	8	1.6	0.2	0.227272727	13.6363636	133	71	30	60	20	0.1902727273	0.0884210526	0.2375
17SGH01561	2	0.1	0.1	1.80952381	76.1904762	144	71	2	20	5	0.1955238095	0.1123595506	0.2818333333
17SGH03328	4.6	0.2	0	0.714285714	52.3809524	132	69	2	2	2	0.163047619	0.0685023506	0.1654444444
17SGH02660	0.5	0.1	0.2	1.666666667	90.4761905	130	73	2	40	5	0.1818095238	0.1545166403	0.631
17SGH01913	3.3	1	0.3	0.333333333	28.5714286	144	75	10	20	40	0.1325714286	0.0400579151	NA
17SGH04020	0.8	0.1	0.1	0.05	5	143	73	5	40	2	0.1221	0.1215443279	NA
17SGH03771	1.1	0.1	0.1	0.19047619	19.047619	146	71	2	10	5	0.2023809524	0.1186981493	0.5223333333
17SGH02959	0.8	0.1	0.1	0.35	30	154	73	2	10	10	0.2246	0.1055818852	0.47475
17SGH03863	4.9	0.7	0.1	0.428571429	33.3333333	135	73	2	60	5	0.1486666667	0.151940545	0.30275
17SGH03878	0.6	0.5	0.8	0.272727273	27.2727273	155	73	2	40	10	0.2225454545	0.149428934	0.394
17SGH01082	0.5	0.1	0.2	0.2	20	148	73	2	20	5	0.1684	0.106557377	0.3355
17SGH02669	5.1	0.4	0.1	1.380952381	76.1904762	156	69	2	20	5	0.1995238095	0.0635858235	NA
17SGH01985	6	1.5	0.3	0.142857143	9.5238095	145	71	5	2	2	0.1881904762	0.1566080978	0.2618
17SGH02731	1.7	0.1	0.1	0.142857143	14.2857143	152	69	10	5	5	0.1942857143	0.0852921424	0.4963333333
17SGH03605	2	0.3	0.2	0.65	45	150	71	20	30	20	0.1809	0.0886172651	0.32725
17SGH02459	0.8	0.1	0.1	0.19047619	19.047619	150	73	10	40	5	0.1823809524	0.1534612177	0.3996666667
17SGH02352	3.6	0.1	0	0.9	60	160	75	5	5	5	0.1692	0.1203448276	0.29
17SGH03243	2.6	0.1	0	1.19047619	66.6666667	135	73	10	0	10	0.1693333333	0.1094287681	0.2906
17SGH04060	5.7	1.2	0.2	1.428571429	80.952381	148	73	5	30	2	0.2076190476	0.0947775629	0.3102
17SGH01613	3.4	0.1	0	1.19047619	76.1904762	142	75	2	30	0	0.2055238095	0.1132737715	0.1567
17SGH02132	0.7	0.1	0.1	1.142857143	76.1904762	140	73	5	5	5	0.2075238095	0.1161581137	0.2884
17SGH02913	4.2	0.1	0	1.3125	81.25	126	69	5	30	2	0.207625	0.1044117647	0.34
17SGH03521	2.7	0.1	0	1.095238095	66.6666667	108	61	10	10	2	0.1753333333	0.0265306122	0.8575
17SGH03595	9.7	0.7	0.1	1.65	85	133	73	2	20	5	0.2097	0.1077075099	0.3036
17SGH01348	0.5	0.1	0.2	0.19047619	19.047619	144	73	5	20	10	0.1983809524	0.1290898275	0.210125
17SGH02701	0.2	0.1	0.5	0.3	30	142	73	2	10	20	0.2046	0.1605536332	0.36125
17SGH01512	1.4	0.1	0.1	0.238095238	23.8095238	130	71	2	5	5	0.1344761905	0.0776173285	0.554
17SGH00352	5.3	0.3	0.1	1.15	65	150	73	5	5	10	0.1973	0.0935653316	0.3046
17SGH03009	2.9	0.2	0.1	0.4	30	168	73	5	0	2	0.1926	0.0880681818	0.44
