taxa	FHBDON	FHBDISIND	FHBSPKINC	PTHT	ZDK
20SGH000699	17.9	1.33333333	93.3333333	92	69
20SGH002602	25.1	NA	NA	65	69
20SGH001595	5.4	2	85.7142857	90	69
20SGH002569	6.6	1.66666667	93.3333333	110	69
20SGH001512	63.7	NA	NA	102	69
20SGH001980	9.7	1.38461538	100	110	69
20SGH003266	4.3	NA	NA	85	65
20SGH000533	5.4	NA	NA	59	69
20SGH002914	7.6	1.18181818	81.8181818	88	69
20SGH002403	32.5	1.5	100	120	65
20SGH003258	NA	NA	NA	60	69
20SGH001071	NA	NA	NA	NA	NA
20SGH000178	23.6	NA	NA	118	69
20SGH003592	5.1	2.35714286	100	90	69
20SGH001896	11.7	1.6	90	86	65
20SGH003584	NA	NA	NA	60	69
20SGH000670	10.4	1.6	86.6666667	111	65
20SGH001067	8.5	1.8	100	99	65
20SGH001814	7.2	2	100	134	65
20SGH003237	36.6	NA	NA	84	69
20SGH000187	6.4	1.6	100	121	69
20SGH001566	2.2	NA	NA	85	61
20SGH001587	12.5	2.3	100	112	69
20SGH003910	6.8	NA	NA	115	65
20SGH003947	23.6	2.38461538	100	100	65
20SGH000249	10.7	NA	NA	80	69
20SGH003061	NA	NA	NA	75	65
20SGH001675	NA	NA	NA	NA	NA
20SGH001618	NA	1.26666667	93.3333333	81	61
20SGH000989	3.8	NA	NA	79	69
20SGH002359	4.4	1.66666667	100	105	65
20SGH000490	11.5	NA	NA	87	65
20SGH001224	19.1	NA	NA	100	69
20SGH000408	30.3	1.86666667	100	128	69
20SGH003694	5	2.3	100	89	69
20SGH003420	NA	NA	NA	NA	NA
20SGH003729	NA	NA	NA	NA	NA
20SGH002877	29.8	1.85714286	100	100	69
20SGH001350	49.7	NA	NA	89	69
20SGH003179	6.5	1.93333333	93.3333333	118	69
20SGH000631	28.5	2.2	93.3333333	122	69
20SGH002671	NA	NA	NA	NA	NA
20SGH001864	25	1.73333333	93.3333333	109	69
20SGH002736	18.5	1.9	90	90	69
20SGH001782	NA	NA	NA	NA	NA
20SGH003837	NA	NA	NA	NA	NA
20SGH000718	2.1	2.28571429	100	130	69
20SGH003018	3.3	2	100	119	69
20SGH003977	NA	NA	NA	NA	NA
20SGH003157	31.2	NA	NA	92	69
20SGH001016	24.1	1.6	100	106	65
20SGH003827	37.7	NA	NA	105	65
20SGH001231	15.3	NA	NA	87	65
20SGH003825	8	NA	NA	NA	NA
20SGH001150	26.4	2	100	101	69
20SGH003370	12.1	2.38461538	100	100	69
20SGH002711	NA	NA	NA	NA	NA
20SGH001135	11.1	2.08333333	100	95	69
20SGH001239	38.7	NA	NA	102	69
20SGH000911	7.3	2.4	100	102	69
20SGH002622	3.9	2.4	100	103	69
20SGH003339	4	1.86666667	100	114	69
20SGH003057	3.5	1.42857143	78.5714286	124	65
20SGH000551	7.4	1.53333333	100	140	69
20SGH003089	3.7	2.33333333	100	124	69
20SGH003623	30.9	NA	NA	103	65
20SGH002372	8.2	2.2	100	120	69
20SGH000621	4.4	2.27272727	90.9090909	100	69
20SGH002689	23.2	1.66666667	91.6666667	109	61
20SGH002672	13.5	2.30769231	92.3076923	95	69
20SGH003897	13.9	1.93333333	100	120	65
20SGH002546	4.9	2.26666667	100	106	65
20SGH002234	2.6	1.86666667	100	129	69
