taxa	FHBZEA	FHBDON	FHBDISIND	FHBSPKINC	PTHT	ZDK	BLSSEV	HSATIVLSEV
20SGH000027	2.5	11.4	2.421052632	94.73684211	110	69	30	20
20SGH000031	0.9	24.8	3.1	85	125	69	30	10
20SGH000033	2	19.7	3.5	100	125	69	50	30
20SGH000050	NA	NA	NA	NA	NA	41	NA	NA
20SGH000055	0	4	2.05	85	140	71	2	20
20SGH000057	0.4	9.6	2.1	90	120	69	10	20
20SGH000060	NA	NA	NA	NA	NA	NA	NA	NA
20SGH000061	0	1.7	0.714285714	50	125	61	2	5
20SGH000066	1.1	12.1	2.75	85	115	71	20	5
20SGH000067	0	3.7	1.85	90	135	71	2	2
20SGH000088	0	1.4	3.75	95	130	69	20	10
20SGH000090	0	2	0.35	30	125	69	20	2
20SGH000092	0.5	4.2	1.769230769	69.23076923	110	69	30	50
20SGH000119	NA	NA	3.117647059	94.11764706	80	69	0	50
20SGH000131	NA	NA	2	100	100	65	NA	NA
20SGH000132	NA	NA	NA	NA	NA	NA	NA	NA
20SGH000139	0	1.2	1.5	62.5	125	65	10	10
20SGH000158	0.4	14.9	2.1	95	130	69	30	5
20SGH000166	NA	NA	2.133333333	93.33333333	80	69	5	2
20SGH000170	0.8	25.9	3.05	95	130	71	40	20
20SGH000178	0	0.8	1.2	65	115	69	5	10
20SGH000187	0	8.3	1.65	90	130	71	5	20
20SGH000197	0	2	0.8	45	100	65	10	40
20SGH000207	0	27.5	3.8	100	120	71	30	30
20SGH000214	0	14.1	1.85	75	105	69	2	10
20SGH000225	0	4.2	2.35	90	120	69	30	10
20SGH000227	1	20.9	3.65	100	120	69	20	10
20SGH000239	0	7.5	3.052631579	94.73684211	110	69	5	20
20SGH000249	NA	NA	NA	NA	NA	NA	NA	NA
20SGH000254	1.4	8.4	2.3	100	120	71	30	20
20SGH000267	0	20.7	2.8	85	100	71	0	5
20SGH000271	0.2	1.4	1.3	60	110	69	20	30
20SGH000285	0	1.7	1.85	80	110	69	10	2
20SGH000299	0	13.5	1.9	85	105	69	20	20
20SGH000312	NA	NA	0.4	40	80	59	10	2
20SGH000333	0.6	16	3.45	100	90	71	10	10
20SGH000335	0.9	13.2	2.65	85	125	69	30	20
20SGH000349	0.2	8.2	1.9	85	120	69	30	20
20SGH000351	NA	NA	0	0	90	39	2	2
20SGH000366	0.4	2.6	3.25	100	135	71	5	2
20SGH000382	0.7	9.1	1.5	58.33333333	90	71	20	10
20SGH000388	0	4.4	2	66.66666667	120	73	2	5
20SGH000399	0.7	16.9	2.2	90	120	69	50	20
20SGH000408	0	3.2	1.05	80	130	69	10	2
20SGH000413	0	14.6	2.615384615	92.30769231	90	69	30	20
20SGH000417	0	7.7	2.8	100	120	71	10	2
20SGH000420	NA	NA	NA	NA	130	57	NA	NA
20SGH000454	NA	NA	3.4	100	110	73	2	2
20SGH000460	0	3.3	1.85	80	110	69	10	20
20SGH000462	0.9	6.4	2.05	95	130	71	20	10
20SGH000468	0.7	6.1	1.7	75	120	71	30	10
20SGH000472	0.2	4.5	2.2	80	125	69	10	5
20SGH000479	0	5.3	1.45	80	125	69	2	10
20SGH000490	NA	NA	NA	NA	NA	NA	NA	NA
20SGH000496	0	0.7	1.444444444	88.88888889	100	69	5	2
20SGH000500	NA	NA	NA	NA	70	57	2	0
20SGH000519	1	11.3	2.55	100	120	71	30	30
20SGH000533	NA	NA	NA	NA	75	NA	NA	NA
20SGH000535	0.4	12.4	2.75	90	135	69	5	5
20SGH000551	0	1.4	2.85	95	150	69	60	10
20SGH000552	NA	NA	NA	NA	NA	NA	NA	NA
20SGH000554	0	10.2	1.266666667	66.66666667	110	69	50	10
20SGH000582	0	10.8	1.214285714	42.85714286	100	71	5	10
20SGH000586	0	4.9	2.6	95	120	71	2	5
20SGH000614	0	6.7	1.722222222	77.77777778	110	71	2	60
20SGH000621	0	8.9	2.25	80	110	71	10	10
20SGH000627	0.7	13.4	2.65	100	110	71	2	20
20SGH000631	0	10.2	2.15	90	120	69	NA	10
20SGH000651	0.3	6.9	3.5	100	100	71	10	30
20SGH000663	1	1.3	0.857142857	71.42857143	110	59	40	30
20SGH000667	0	1.5	0.823529412	64.70588235	105	59	5	30
20SGH000670	0	2.4	1.6	75	105	71	20	30
20SGH000699	0	7.7	2.65	90	110	65	2	0
20SGH000706	0.6	1.3	1.85	80	125	71	2	10
20SGH000710	0.2	7.2	2.5	100	130	61	20	2
20SGH000718	0	2	1.3	70	130	69	5	10
20SGH000744	0	18.4	3.5	100	120	69	10	2
20SGH000755	0	3.2	2.2	80	110	65	5	40
20SGH000780	1.3	35.5	3.85	100	115	69	5	10
20SGH000790	1.6	10.8	2.4	100	120	71	10	30
20SGH000811	3.9	21.6	3.25	90	100	69	20	10
20SGH000828	NA	NA	NA	NA	NA	NA	NA	NA
20SGH000835	0.9	11	3.1	95	110	69	20	10
20SGH000837	NA	NA	NA	NA	NA	NA	NA	NA
20SGH000839	0	3.3	1.45	80	120	69	10	5
20SGH000847	NA	NA	1	100	NA	57	2	2
20SGH000855	0.2	13.6	2.75	90	135	69	20	5
20SGH000860	0.5	10.8	3.1	95	120	69	20	10
20SGH000892	0.2	7.8	2.789473684	94.73684211	125	69	50	20
20SGH000896	NA	NA	NA	NA	NA	NA	NA	NA
20SGH000897	0	0	0.833333333	66.66666667	NA	57	10	2
20SGH000902	NA	NA	NA	NA	NA	NA	NA	NA
20SGH000911	0	6.3	3.55	100	130	69	5	30
20SGH000930	0.4	3.6	2.4	85	100	69	20	60
20SGH000932	NA	NA	1.7	95	95	59	10	2
20SGH000933	0.5	13.6	2.5	90	120	69	20	30
20SGH000935	3.2	5.3	3.2	100	120	69	10	2
20SGH000938	0	5.6	1.15	75	110	69	40	20
20SGH000972	0.4	13.2	3.315789474	100	120	71	10	2
20SGH000979	0	3.3	1	33.33333333	75	61	0	0
20SGH000983	NA	NA	NA	NA	50	41	2	20
20SGH000989	NA	NA	NA	NA	NA	NA	NA	NA
20SGH000997	NA	NA	0.166666667	16.66666667	100	57	10	30
20SGH001016	0	6.1	1.65	80	110	69	5	40
20SGH001051	0.4	3.2	2.35	95	135	71	0	10
20SGH001059	0.5	16	2.85	100	130	69	10	2
20SGH001067	0	0.5	1.5	58.33333333	100	69	10	10
20SGH001071	NA	NA	NA	NA	NA	NA	NA	NA
20SGH001087	1.1	19.1	3.35	100	120	71	30	10
20SGH001101	0	4.9	2.45	95	135	71	70	5
20SGH001120	0	4.1	2.65	100	130	71	5	0
20SGH001135	0	7.8	2.416666667	91.66666667	85	71	5	20
20SGH001139	0	3	2.05	85	125	69	5	5
20SGH001150	0	9	1.75	75	120	69	30	40
20SGH001173	0.5	5.3	2.45	90	100	69	2	5
20SGH001174	0	4.1	2.8125	81.25	105	69	10	30
20SGH001192	0	11.3	2.8	100	135	71	10	5
20SGH001224	0	0.7	1.625	75	110	69	20	30
20SGH001231	NA	NA	NA	NA	NA	NA	NA	NA
20SGH001235	0.5	3.2	3.35	100	115	69	5	5
20SGH001239	0.6	15.1	4.05	100	120	71	30	20
20SGH001245	0	3.8	1.1	65	110	69	5	5
20SGH001259	NA	NA	NA	NA	70	51	NA	NA
20SGH001270	0.2	9.3	3.55	100	125	73	20	2
20SGH001299	0.5	10.8	1.55	85	105	69	0	0
20SGH001320	0.3	10.1	2.6	100	120	71	20	10
20SGH001332	0.3	2.1	1.05	80	130	65	10	30
20SGH001350	NA	NA	NA	NA	NA	NA	NA	NA
20SGH001357	NA	NA	NA	NA	NA	39	0	2
20SGH001359	0	9.9	2.2	85	130	65	50	40
20SGH001360	NA	NA	3	100	40	55	5	5
20SGH001382	0	10	3	100	125	71	40	50
20SGH001387	0	3.4	0.25	12.5	110	61	5	20
20SGH001388	0	11.3	3.45	95	135	71	5	5
20SGH001392	0	0	2	100	100	69	5	5
20SGH001395	0	18.9	1.85	90	130	71	20	10
20SGH001420	0	4.8	1.8	85	125	65	10	20
20SGH001424	0.8	6.4	1.4	90	125	69	10	10
20SGH001434	0.8	7.2	2.35	90	120	73	5	5
20SGH001439	0.5	8.8	3	95	130	71	30	2
20SGH001440	NA	NA	NA	NA	55	NA	NA	NA
20SGH001456	0	10.6	2.25	90	110	69	10	2
20SGH001477	NA	NA	3	100	NA	69	20	0
20SGH001491	0.1	6.5	1.777777778	83.33333333	100	71	5	5
20SGH001502	0	2.2	2.25	100	115	71	2	0
20SGH001504	0	2.9	2	100	70	69	0	0
20SGH001512	0	15	1.166666667	50	100	69	10	30
20SGH001538	0.2	9.3	1.9	85	120	69	20	10
20SGH001541	0	0.9	0.611111111	38.88888889	100	61	5	10
20SGH001556	0	7.6	3.75	100	120	71	5	2
20SGH001566	0	1.2	0.857142857	57.14285714	110	65	5	5
20SGH001587	0	2.5	0.5	30	110	65	2	0
20SGH001595	0	6.4	1.142857143	42.85714286	100	69	30	5
20SGH001610	NA	NA	4	100	115	61	0	30
20SGH001618	NA	NA	NA	NA	NA	NA	NA	NA
20SGH001622	0	3.8	0.944444444	44.44444444	75	65	2	2
20SGH001666	0.6	12.9	3.65	100	130	71	30	20
20SGH001675	NA	NA	NA	NA	NA	NA	NA	NA
20SGH001692	NA	NA	NA	NA	115	59	NA	NA
20SGH001695	0.4	22.5	2.15	100	120	71	60	20
20SGH001699	0.5	12.5	1.45	80	135	71	10	10
20SGH001707	0.4	8.6	1.5	70	120	69	20	2
20SGH001727	0.9	18.9	1.95	95	115	69	2	5
20SGH001731	0.2	2.3	1.5	75	120	69	5	20
20SGH001741	0.1	2.9	1.25	70	95	69	2	0
20SGH001772	NA	NA	NA	NA	NA	NA	NA	NA
20SGH001774	0	6.1	3.05	85	80	61	5	10
20SGH001782	NA	NA	NA	NA	NA	NA	NA	NA
20SGH001789	0.1	9.9	3.15	100	130	71	30	10
20SGH001798	0.2	25.5	1.882352941	76.47058824	130	71	20	10
20SGH001814	0.1	7.3	2.9	100	130	71	5	5
20SGH001831	0	20.2	3.8	100	115	69	10	5
20SGH001856	0	42.1	2.3	85	110	69	5	10
20SGH001857	NA	NA	1.2	40	90	61	0	10
20SGH001864	0	1.7	1.95	85	110	71	5	5
20SGH001896	0	5.1	1.357142857	85.71428571	110	69	2	5
20SGH001899	0	0.9	1.4	65	105	71	10	10
20SGH001906	0	2.5	0.85	65	110	69	5	10
20SGH001923	0	0	0.5	33.33333333	80	51	5	20
20SGH001943	0	1.9	2.45	90	115	69	20	40
20SGH001959	0.3	25.2	3.65	100	115	71	60	20
20SGH001965	0	2	0.888888889	77.77777778	115	65	5	2
20SGH001971	0	22.6	3.75	100	130	69	60	5
20SGH001974	0.3	8.3	2.1	95	140	69	50	40
20SGH001980	0	6	1.2	65	1	69	10	30
20SGH002013	0.1	2.1	0.95	65	140	69	40	20
20SGH002020	1	24.3	2.8	100	120	71	10	40
20SGH002036	0	26.2	4	100	120	69	40	30
20SGH002044	0	2.8	3.35	100	120	69	5	5
20SGH002057	0.6	10.9	3	100	120	69	2	5
20SGH002061	0.8	7.4	3.2	95	130	71	10	0
20SGH002098	0.6	5.5	2.2	95	140	69	5	60
20SGH002109	0	1.2	0.666666667	50	110	69	5	60
20SGH002137	0.5	18.4	3.5	100	140	73	5	0
20SGH002149	0.2	1.7	2.3	100	120	69	20	10
20SGH002156	0	3.1	1.538461538	76.92307692	110	71	30	2
20SGH002170	0.3	5.3	1.571428571	71.42857143	105	69	5	20
20SGH002171	0.9	3.8	0.666666667	33.33333333	85	61	2	5
20SGH002180	0.2	19.8	3.65	100	120	71	20	5
20SGH002187	0.1	5.7	1.75	85	115	71	5	2
20SGH002190	0	0.4	0.285714286	28.57142857	100	59	2	10
20SGH002194	0.2	7.6	3.1	95	125	71	10	10
20SGH002197	0.3	7.3	2.1	85	120	69	5	2
20SGH002227	0	4.7	1.55	90	120	69	10	30
20SGH002234	0.5	16.4	2.15	85	130	71	20	10
20SGH002238	0.4	14.4	3.05	100	120	71	10	5
20SGH002251	0.3	5	1.7	85	120	71	2	2
20SGH002262	0	0.5	0.5	50	NA	57	0	2
20SGH002272	0	0.6	1.0625	62.5	NA	69	5	20
20SGH002280	0.2	1.7	1.5	75	130	69	5	10
20SGH002295	0.7	22.8	3.65	100	130	73	10	2
20SGH002304	0	4.7	3.3	100	110	69	5	10
20SGH002305	0	5.1	1.3	65	140	69	10	10
20SGH002314	0	10.3	1.85	85	120	71	10	20
20SGH002331	0.3	5.8	2	90	130	71	5	0
20SGH002334	NA	NA	NA	NA	NA	NA	NA	NA
20SGH002338	0.1	15.4	1.5625	75	130	69	10	20
20SGH002341	0.1	7.2	1.85	90	140	69	60	30
20SGH002357	0	1.5	2.5	85	130	69	0	60
20SGH002359	0	3.5	1.8	65	110	69	5	40
20SGH002372	0.3	8.7	2.95	100	120	69	10	2
20SGH002373	0	9.3	2.153846154	84.61538462	110	69	50	60
20SGH002394	0.2	2.4	1.5	60	90	65	10	10
20SGH002402	1	22.9	2.8	100	120	71	30	20
20SGH002403	NA	NA	1.2	70	130	69	10	30
20SGH002419	0	6.3	3.15	100	120	69	30	10
20SGH002428	0	8.6	1.95	90	100	69	60	30
20SGH002441	NA	NA	NA	NA	100	NA	NA	NA
20SGH002442	0	0.2	1.25	75	100	61	2	5
