phenotype_year	plant_id	Cycle	Site	Time	serpentine	FHBDON	FHBZEA
2022	20SGH002222	C10	SAL	5	1	0.1	0
2022	20SGH003884	C10	SAL	5	2	0	0
2022	20SGH000029	C10	SAL	5	3	0	0
2022	20SGH000852	C10	SAL	5	5	0	0
2022	20SGH001620	C10	SAL	5	6	0.1	0.1
2022	20SGH001827	C10	SAL	5	7	0	0
2022	20SGH002503	C10	SAL	5	8	0	0
2022	20SGH003952	C10	SAL	5	10	0	0
2022	20SGH003387	C10	SAL	5	12	0	0
2022	20SGH003335	C10	SAL	5	13	0	0
2022	20SGH003188	C10	SAL	5	15	0.1	0
2022	20SGH002817	C10	SAL	5	16	0.7	0.1
2022	20SGH000302	C10	SAL	5	17	0	0
2022	20SGH001780	C10	SAL	5	18	0	0
2022	20SGH002374	C10	SAL	5	19	0.2	0.1
2022	20SGH001810	C10	SAL	5	20	0	0
2022	20SGH000898	C10	SAL	5	22	0	0
2022	20SGH003267	C10	SAL	5	23	0	0
2022	20SGH002753	C10	SAL	5	24	0	0
2022	20SGH001626	C10	SAL	5	25	0.1	0.1
2022	20SGH002541	C10	SAL	5	26	0.2	0
2022	20SGH000409	C10	SAL	5	27	0	0
2022	20SGH001704	C10	SAL	5	29	0.2	0
2022	20SGH002837	C10	SAL	5	30	0	0
2022	20SGH002859	C10	SAL	5	31	0	0
2022	20SGH002632	C10	SAL	5	35	0.8	0
2022	20SGH000480	C10	SAL	5	36	0.3	0
2022	20SGH003787	C10	SAL	5	38	0	0.2
2022	20SGH000698	C10	SAL	5	40	0	0
2022	20SGH000771	C10	SAL	5	41	0	0
2022	20SGH000228	C10	SAL	5	43	0	0
2022	19SGH003816	C10	SAL	5	44	0	0
2022	20SGH001992	C10	SAL	5	45	0	0
2022	20SGH000918	C10	SAL	5	46	0	0
2022	20SGH003380	C10	SAL	5	47	0	0.2
2022	20SGH003276	C10	SAL	5	48	0	0
2022	20SGH001610	C10	SAL	5	50	0	0
2022	20SGH002835	C10	SAL	5	51	0.1	0
2022	20SGH001348	C10	SAL	5	52	0	0
2022	20SGH001935	C10	SAL	5	53	0.1	0
2022	19SGH001194	C10	SAL	5	55	0.2	0.1
2022	20SGH001573	C10	SAL	5	56	0	0.1
2022	20SGH000380	C10	SAL	5	57	0	0
2022	20SGH002099	C10	SAL	5	58	0	0
2022	20SGH003835	C10	SAL	5	60	0	0
2022	20SGH003060	C10	SAL	5	61	0	0
2022	20SGH001274	C10	SAL	5	62	0	0
2022	20SGH002733	C10	SAL	5	63	0	0
2022	20SGH001745	C10	SAL	5	65	0	0
2022	20SGH001645	C10	SAL	5	67	0	0
2022	20SGH003856	C10	SAL	5	68	0.4	0
2022	20SGH003541	C10	SAL	5	70	0	0
2022	20SGH003130	C10	SAL	5	72	0.1	0
2022	20SGH003913	C10	SAL	5	73	0	0
2022	20SGH001446	C10	SAL	5	74	0	0
2022	19SGH001829	C10	SAL	5	75	0	0.1
2022	20SGH002358	C10	SAL	5	76	0.3	0.1
2022	20SGH001411	C10	SAL	5	79	0	0
2022	20SGH001430	C10	SAL	5	81	0	0
2022	20SGH003026	C10	SAL	5	82	0	0
2022	20SGH002278	C10	SAL	5	83	0	0
2022	20SGH000701	C10	SAL	5	84	0	0
2022	20SGH000166	C10	SAL	5	86	0	0
2022	20SGH001476	C10	SAL	5	87	0	0
2022	20SGH000905	C10	SAL	5	88	0	0
2022	20SGH002320	C10	SAL	5	89	0	0
2022	20SGH000530	C10	SAL	5	91	0.1	0.1
2022	20SGH001344	C10	SAL	5	92	0	0
