"","EntityID","CPGID","PlantID","source_id","germplasm_id","experiment_id","PlotID","Selection","Entry","planting_date","StartingCorner","Row","Range","easting","northing","altitude","rep","block","notes","DON","ZEA"
"1","20FHB000001",2001,"2222","20SGH002222","C10_002222","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_1_CPG2001_2222","experimental","C10","2020-10-16","SW",1,1,0,0,0,0,0,NA,0.1,0
"2","20FHB000002",2002,"3884","20SGH003884","C10_003884","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_2_CPG2002_3884","experimental","C10","2020-10-16","SW",1,2,0,0,0,0,0,NA,0,0
"3","20FHB000003",2003,"29","20SGH000029","C10_000029","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_3_CPG2003_29","experimental","C10","2020-10-16","SW",1,3,0,0,0,0,0,NA,0,0
"4","20FHB000004",2004,"C9-3237","19SGH003237","C9_003237","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_4_CPG2004_C9-3237","top33 S FHB","C9 replicate","2020-10-16","SW",1,4,0,0,0,0,0,"C9 replicate",NA,NA
"5","20FHB000005",2005,"852","20SGH000852","C10_000852","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_5_CPG2005_852","experimental","C10","2020-10-16","SW",1,5,0,0,0,0,0,NA,0,0
"6","20FHB000006",2006,"1620","20SGH001620","C10_001620","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_6_CPG2006_1620","experimental","C10","2020-10-16","SW",1,6,0,0,0,0,0,NA,0.1,0.1
"7","20FHB000007",2007,"1827","20SGH001827","C10_001827","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_7_CPG2007_1827","experimental","C10","2020-10-16","SW",1,7,0,0,0,0,0,NA,0,0
"8","20FHB000008",2008,"2503","20SGH002503","C10_002503","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_8_CPG2008_2503","experimental","C10","2020-10-16","SW",1,8,0,0,0,0,0,NA,0,0
"9","20FHB000009",2009,"Bacup",NA,"Bacup","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_9_CPG2009_Bacup","resistant check","spring wheat","2020-10-16","SW",1,9,0,0,0,0,0,"sw_check",NA,NA
"10","20FHB000010",2010,"3952","20SGH003952","C10_003952","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_10_CPG2010_3952","experimental","C10","2020-10-16","SW",1,10,0,0,0,0,0,NA,0,0
"11","20FHB000011",2011,"C9-1196","19SGH001196","C9_001196","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_11_CPG2011_C9-1196","top33 S FHB","C9 replicate","2020-10-16","SW",1,11,0,0,0,0,0,"C9 replicate",NA,NA
"12","20FHB000012",2012,"3387","20SGH003387","C10_003387","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_12_CPG2012_3387","experimental","C10","2020-10-16","SW",1,12,0,0,0,0,0,NA,0,0
"13","20FHB000013",2013,"3335","20SGH003335","C10_003335","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_13_CPG2013_3335","experimental","C10","2020-10-16","SW",1,13,0,0,0,0,0,NA,0,0
"14","20FHB000014",2014,"578","20SGH000578","C10_000578","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_14_CPG2014_578","experimental","C10","2020-10-16","SW",1,14,0,0,0,0,0,NA,NA,NA
"15","20FHB000015",2015,"3188","20SGH003188","C10_003188","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_15_CPG2015_3188","experimental","C10","2020-10-16","SW",1,15,0,0,0,0,0,NA,0.1,0
"16","20FHB000016",2016,"2817","20SGH002817","C10_002817","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_16_CPG2016_2817","experimental","C10","2020-10-16","SW",1,16,0,0,0,0,0,NA,0.7,0.1
"17","20FHB000017",2017,"302","20SGH000302","C10_000302","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_17_CPG2017_302","experimental","C10","2020-10-16","SW",1,17,0,0,0,0,0,NA,0,0
"18","20FHB000018",2018,"1780","20SGH001780","C10_001780","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_18_CPG2018_1780","experimental","C10","2020-10-16","SW",1,18,0,0,0,0,0,NA,0,0
