"","Distance","Rsquare","Number"
"1",100,0.157063003059547,2538
"2",200,0.14239495286358,78
"3",300,0.16505675109748,52
"4",400,0.124530288033584,37
"5",500,0.116879649240647,34
"6",600,0.165977147087054,32
"7",700,0.211469284889416,20
"8",800,0.0928976772513369,19
"9",900,0.19617053996276,22
"10",1000,0.077782406650577,18
"11",1100,0.16670341885834,21
"12",1200,0.171007083881472,21
"13",1300,0.202332238719386,13
"14",1400,0.154436326350243,16
"15",1500,0.0189390595373224,6
"16",1600,0.0999190821225815,17
"17",1700,0.174122513914568,12
"18",1800,0.186353799352127,12
"19",1900,0.0644662903846568,11
"20",2000,0.295015567649643,13
"21",2100,0.0618016503922715,10
"22",2200,0.252176901172705,4
"23",2300,0.19055454102254,9
"24",2400,0.1092732672034,10
"25",2500,0.221916482294501,11
"26",2600,0.241167582098398,11
"27",2700,0.110069478871535,11
"28",2800,0.220047194314157,9
"29",2900,0.166479203268509,10
"30",3000,0.0453376893116223,9
"31",3100,0.169668106741613,5
"32",3200,0.0976408430065917,14
"33",3300,0.144855836866109,7
"34",3400,0.255480775953407,6
"35",3500,0.0793114995718903,3
"36",3600,0.0922220531486748,8
"37",3700,0.064805167122437,4
"38",3800,0.00298369447800101,4
"39",3900,0.441315582965931,9
"40",4000,0.0970716003978533,7
"41",4100,0.227673838859461,4
"42",4200,0.272606461043591,17
"43",4300,0.563780843059407,3
"44",4400,0.219833481458424,8
"45",4500,0.255556803803629,6
"46",4600,0.168755766341637,7
"47",4700,0.0746153312186677,9
"48",4800,0.148201353274342,3
"49",4900,0.308382674267492,7
"50",5000,0.199895362076781,10
"51",5100,0.0443165121434334,7
"52",5200,0.0510803533379773,7
"53",5300,0.196684665456045,14
"54",5400,0.205832980899703,9
"55",5500,0.173482517362941,4
"56",5600,0.0705908915102256,11
"57",5700,0.0627094040571914,4
"58",5800,0.0662046507022387,5
"59",5900,0.202574100393203,12
"60",6000,0.287636671027662,7
"61",6100,0.229844260704835,4
"62",6200,0.0124593707651834,4
"63",6300,0.253782109461553,7
"64",6400,0.00382297292842021,2
"65",6500,0.126923409402538,10
"66",6600,0.157422376056642,6
"67",6700,0.0760926135449585,4
"68",6800,0.120740669180846,9
"69",6900,0.174980696676066,4
"70",7000,0.0827150589853682,7
"71",7100,0.156456673022192,10
"72",7200,0.0327212329643295,7
"73",7300,0.00739510093536843,4
"74",7400,0.0213975612572669,3
"75",7500,0.147092647931055,4
"76",7600,0.0751469566092085,6
"77",7700,0.0407796332540253,5
"78",7800,0.175486226140076,5
"79",7900,0.14591797712684,7
"80",8000,0.5390807824407,3
"81",8100,0.066342230787681,4
"82",8200,0.0643297810105259,7
"83",8300,0.159185529067202,6
"84",8400,0.0516565640230977,6
"85",8500,0.0736208115848401,8
"86",8600,0.262163415096453,7
"87",8700,0.256195253155813,2
"88",8800,NA,0
"89",8900,0.00842475071789796,6
"90",9000,0.172178194294094,11
"91",9100,0.0117879900822136,3
"92",9200,0.15684697782009,3
"93",9300,0.00234387805286559,5
"94",9400,0.525130151742124,2
"95",9500,0.198230358363069,6
"96",9600,0.222893233622165,1
"97",9700,0.0191804642707934,4
"98",9800,0.000588648251570747,1
"99",9900,0.0661594449045319,6
