"","Distance","Rsquare","Number"
"1",100,0.150176473504262,2594
"2",200,0.153913949766209,83
"3",300,0.111571327306507,46
"4",400,0.150913269697419,30
"5",500,0.134750601973064,28
"6",600,0.207834987819887,30
"7",700,0.118351835786326,27
"8",800,0.120326897254465,25
"9",900,0.143449665847893,20
"10",1000,0.151007280516774,21
"11",1100,0.173711318755748,11
"12",1200,0.0914227329188954,14
"13",1300,0.157022236554669,16
"14",1400,0.0989628962811568,19
"15",1500,0.0342960725908078,8
"16",1600,0.103933553775013,15
"17",1700,0.0732375206299489,7
"18",1800,0.322355558822218,10
"19",1900,0.123658338022383,14
"20",2000,0.215788553643765,14
"21",2100,0.249746193780455,9
"22",2200,0.0213015172140726,8
"23",2300,0.0814044799573383,10
"24",2400,0.15801832147248,11
"25",2500,0.202586950869008,7
"26",2600,0.293934341054836,5
"27",2700,0.118081845751758,12
"28",2800,0.200472421062369,7
"29",2900,0.228664270889539,14
"30",3000,0.265335118607446,5
"31",3100,0.0986046130652242,5
"32",3200,0.147514595036302,15
"33",3300,0.176330539396029,7
"34",3400,0.0938700695696436,8
"35",3500,0.156623890987239,5
"36",3600,0.143950267787685,5
"37",3700,0.272490202625866,8
"38",3800,0.0791413477510054,7
"39",3900,0.0328544195708738,7
"40",4000,0.0584346369576249,8
"41",4100,0.0573029222215631,8
"42",4200,0.0986645046828963,6
"43",4300,0.27493810825616,9
"44",4400,0.0166002225178048,5
"45",4500,0.057003749938629,7
"46",4600,0.210824439873528,7
"47",4700,0.125610381978865,5
"48",4800,0.0235630735520414,4
"49",4900,0.194571309379921,6
"50",5000,0.114255053798963,8
"51",5100,0.0844054039000541,7
"52",5200,0.0603933679073656,7
"53",5300,0.30605896251951,8
"54",5400,0.193574716140116,8
"55",5500,0.193381635581722,5
"56",5600,0.189260000144164,9
"57",5700,0.0759763722785627,8
"58",5800,0.178439273524276,5
"59",5900,0.35117898859184,10
"60",6000,0.254974651726749,7
"61",6100,0.331088013996819,8
"62",6200,0.0668241952307654,7
"63",6300,0.0959900794185297,5
"64",6400,0.280377035324722,5
"65",6500,0.181249376270586,4
"66",6600,0.000228355958460344,1
"67",6700,0.189701333306832,6
"68",6800,0.0146855419488101,3
"69",6900,0.355745216483601,4
"70",7000,0.116963371193067,7
"71",7100,0.296467416090014,5
"72",7200,0.107539517094151,7
"73",7300,0.330727235891804,5
"74",7400,0.016286028806576,2
"75",7500,0.00840761484910978,6
"76",7600,0.114570201196486,8
"77",7700,0.242623049340517,9
"78",7800,0.00943391017765027,4
"79",7900,0.0948477805036886,9
"80",8000,0.250689125648811,4
"81",8100,0.0950946503523927,6
"82",8200,0.0692085394270662,9
"83",8300,0.310730805947988,4
"84",8400,0.265752028087028,7
"85",8500,0.0267653246220932,4
"86",8600,0.142984094259478,11
"87",8700,0.0729760238042369,5
"88",8800,0.766169034196808,1
"89",8900,0.0226178030164565,5
"90",9000,0.187722617687115,10
"91",9100,0.0215472105469933,3
"92",9200,0.133961910503302,4
"93",9300,0.139687666940177,5
"94",9400,0.172540866964252,6
"95",9500,0.0686959379224119,6
"96",9600,0.00916430655754455,1
"97",9700,0.0646938902038961,6
"98",9800,0.0368584078697277,5
"99",9900,0.02328876392409,5
