SNP,Chr,Pos,P.value,MAF,effect,nobs,H&B.P.Value,Phenotype_Variance_Explained(%)
SJ01_438678296,1,438678296,2.77392760384953e-12,0.00540540540540535,-0.289282319617667,370,7.4126280393869e-09,0.14164111000299
SJ03_35771049,3,35771049,5.48301237864623e-30,0.0135135135135135,-0.347633402310031,370,4.39559394865122e-26,6.13432347825285
SJ06_341989312,6,341989312,2.32945964259192e-09,0.0067567567567568,-0.221765436753772,370,5.33562731135679e-06,0
SJ07_5992523,7,5992523,2.31416005700169e-28,0.00135135135135134,-0.978413997451423,370,1.23680284246455e-24,2.28437465921739
SJ07_667035453,7,667035453,2.33343250400178e-156,0.00135135135135134,-4.77704341810762,370,7.48261801058252e-152,57.3932754814506
SS02_337893034,9,337893034,8.374832621905e-44,0.00135135135135134,-2.01608870443166,370,8.95185858955425e-40,9.19148465191114
SS06_146499812,13,146499812,1.80506021545816e-28,0.00135135135135134,-0.997684213762618,370,1.15765731858194e-24,2.3301397702472
SS07_414474582,14,414474582,1.91280248625835e-24,0.0121621621621621,-0.209075808174139,370,8.76254818954949e-21,0
SS07_414489769,14,414489769,1.0200342447264e-19,0.0121621621621621,0.648054673910831,370,4.08867976570519e-16,0
SS07_416230590,14,416230590,2.16606452754349e-15,0.0135135135135135,0.481966149508399,370,6.31447192770336e-12,0
SS07_428669333,14,428669333,2.13718013463515e-07,0.0162162162162162,0.315505807317532,370,0.000428330971108409,7.16785514478548e-12
SV01_25473197,15,25473197,8.38841582448471e-08,0.0067567567567568,0.317748687160305,370,0.000179327553495834,2.64052855991872e-10
SV01_37474372,15,37474372,2.00566106316695e-19,0.0202702702702703,0.297191661374191,370,7.14617036806385e-16,0
SV03_294791114,17,294791114,1.13488098861944e-133,0.00135135135135134,-3.03151555671161,370,1.81961143310298e-129,20.9611173358074
SV03_403974348,17,403974348,1.0484715404158e-09,0.0202702702702703,-0.0902260675977018,370,2.58625668357797e-06,0
SV06_66877427,20,66877427,6.50678479549012e-19,0.00810810810810814,-0.245538973730229,370,2.08653068036982e-15,1.55403959803182
