Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Triticum aestivum chromosome arm 3DS-specific BAC library, contig ctg447",Triticum aestivum,168,409,100%,9e-40,92.17,1264820,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HE774676.1?report=genbank&log$=nucltop&blast_rank=1&RID=M18K0BSW016"",""HE774676.1"")"
Triticum aestivum cultivar Sumai 3 Fhb1 region genomic sequence,Triticum aestivum,157,262,100%,2e-36,76.02,228329,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX907434.1?report=genbank&log$=nucltop&blast_rank=2&RID=M18K0BSW016"",""KX907434.1"")"
"Triticum aestivum mRNA, clone: tplb0046c02, cultivar Chinese Spring",Triticum aestivum,118,118,42%,4e-25,90.59,1336,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AK451334.1?report=genbank&log$=nucltop&blast_rank=3&RID=M18K0BSW016"",""AK451334.1"")"
"PREDICTED: Triticum dicoccoides GDSL esterase/lipase At3g26430-like (LOC119280494), mRNA",Triticum dicoccoides,118,118,42%,4e-25,90.59,1774,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_037561325.1?report=genbank&log$=nucltop&blast_rank=4&RID=M18K0BSW016"",""XM_037561325.1"")"
"PREDICTED: Triticum aestivum GDSL esterase/lipase ACHE (LOC123076813), mRNA",Triticum aestivum,118,118,42%,4e-25,90.59,1416,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_044498953.1?report=genbank&log$=nucltop&blast_rank=5&RID=M18K0BSW016"",""XM_044498953.1"")"
"PREDICTED: Triticum dicoccoides GDSL esterase/lipase At3g26430-like (LOC119266696), mRNA",Triticum dicoccoides,113,113,42%,2e-23,89.41,1488,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_037547951.1?report=genbank&log$=nucltop&blast_rank=6&RID=M18K0BSW016"",""XM_037547951.1"")"
"PREDICTED: Triticum aestivum GDSL esterase/lipase ACHE (LOC123059856), mRNA",Triticum aestivum,113,113,42%,2e-23,89.41,1444,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_044482383.1?report=genbank&log$=nucltop&blast_rank=7&RID=M18K0BSW016"",""XM_044482383.1"")"
"PREDICTED: Triticum aestivum GDSL esterase/lipase ACHE (LOC123057563), mRNA",Triticum aestivum,109,109,42%,2e-22,88.24,1360,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_044480508.1?report=genbank&log$=nucltop&blast_rank=8&RID=M18K0BSW016"",""XM_044480508.1"")"
"PREDICTED: Triticum dicoccoides GDSL esterase/lipase At3g26430-like (LOC119266697), mRNA",Triticum dicoccoides,109,109,42%,2e-22,88.24,1369,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_037547952.1?report=genbank&log$=nucltop&blast_rank=9&RID=M18K0BSW016"",""XM_037547952.1"")"
"PREDICTED: Hordeum vulgare subsp. vulgare GDSL esterase/lipase ACHE-like (LOC123442518), mRNA",Hordeum vulgare subsp. vulgare,107,107,42%,7e-22,88.10,1517,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_045118584.1?report=genbank&log$=nucltop&blast_rank=10&RID=M18K0BSW016"",""XM_045118584.1"")"
"Hordeum vulgare subsp. vulgare mRNA for predicted protein, partial cds, clone: NIASHv2045D23",Hordeum vulgare subsp. vulgare,107,107,42%,7e-22,88.10,1373,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AK366643.1?report=genbank&log$=nucltop&blast_rank=11&RID=M18K0BSW016"",""AK366643.1"")"
"PREDICTED: Triticum aestivum GDSL esterase/lipase ACHE (LOC123076814), mRNA",Triticum aestivum,100,100,42%,1e-19,85.88,1508,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_044498954.1?report=genbank&log$=nucltop&blast_rank=12&RID=M18K0BSW016"",""XM_044498954.1"")"
"PREDICTED: Triticum dicoccoides GDSL esterase/lipase At3g26430-like (LOC119280495), mRNA",Triticum dicoccoides,96.0,96.0,42%,4e-18,84.71,1295,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_037561326.1?report=genbank&log$=nucltop&blast_rank=13&RID=M18K0BSW016"",""XM_037561326.1"")"



		


