SNP,Chromosome,Position,P.value,MAF,nobs,effect,Phenotype_Variance_Explained(%)
SJ05_552460009,5,552460009,1.294340066815e-56,0.00155279503105588,322,-2.67745466816946,0
SS03_165935726,10,165935726,1.40628904047776e-14,0.0248447204968945,322,0.851633018920999,3.60455765227486
SS03_316869342,10,316869342,1.38725348355944e-14,0.0279503105590062,322,-0.0243225707971273,0.981903501870038
SS03_316869348,10,316869348,1.40628892228966e-14,0.0232919254658385,322,0.851633021134369,5.35970146244041e-06
SS03_343702896,10,343702896,3.7556314914444e-07,0.00155279503105588,322,-0.395418424660855,0
SS07_61086311,14,61086311,1.17722868464326e-12,0.0232919254658385,322,0.315278666992588,1.01010831515507
SS07_65302073,14,65302073,3.43214051074023e-23,0.0217391304347826,322,1.32888713573303,0
SS07_65547475,14,65547475,3.43214051074023e-23,0.0217391304347826,322,1.32888713573303,0
SS07_67144799,14,67144799,3.23804376312639e-25,0.0232919254658385,322,-0.0855035124077803,0
SV03_110712558,17,110712558,4.79718669454985e-08,0.00465838509316774,322,0.0458500139920517,0
SV05_45545812,19,45545812,1.94290783036183e-07,0.00310559006211175,322,-0.27313004911912,0
