SNP,Chr,Pos,P.value,MAF,effect,nobs,H&B.P.Value,Phenotype_Variance_Explained(%)
SJ02_530678956,2,530678956,1.06495360168868e-07,0.0517241379310345,-1.85460369846527,319,0.000426873339316886,1.49017704755951
SJ02_594684575,2,594684575,1.17492917559336e-09,0.00156739811912221,-13.7823359485824,319,9.41911346843806e-06,13.4605894039338
SJ07_16833484,7,16833484,3.84813617138996e-10,0.00156739811912221,-17.2298152449875,319,4.11327275359873e-06,38.405736570294
SJ07_421470788,7,421470788,7.16416179810016e-08,0.0219435736677116,-2.89082675760221,319,0.000328190251970969,6.93108324862856
SJ07_491374653,7,491374653,2.87126409569888e-07,0.434169278996865,1.12315583083025,319,0.000981355657437427,0.0702664733140771
SJ07_495046207,7,495046207,2.58214425065934e-08,0.0799373040752351,-2.00850296843743,319,0.000138002699476489,0.365495479562462
SS07_301996644,14,301996644,2.09606200121101e-13,0.00156739811912221,-17.1427767078353,319,6.72144201928335e-09,19.3417314399867
SV02_452759354,16,452759354,8.60279979486605e-07,0.405956112852665,-0.809788258616027,319,0.00250787255474518,0.117856892332558
SV03_26394652,17,26394652,3.06032886592892e-07,0.00156739811912221,-11.0260498052528,319,0.000981355657437427,7.88231037078202
SV03_49596960,17,49596960,3.205342383412e-10,0.00313479623824453,-10.2048414032599,319,4.11327275359873e-06,8.93656477500691
SV07_505205092,21,505205092,1.77213544521134e-09,0.012539184952978,-4.70100158931763,319,1.13654134643184e-05,2.12775903233131
